h,nobs,R2,beta_MP,se_beta_MP,gamma_MPxAge,se_gamma_MPxAge,delta_MPxAI,se_delta_MPxAI
1,125,0.3453134508435206,0.05889908808865238,0.0779009835360197,0.10691734423530244,0.13825677928019262,-0.21671589110342704,0.131371017589715
3,123,0.46238479089001916,0.07416126565497444,0.08304681040330095,-0.011328649596980378,0.17855837895128537,-0.1516792266264131,0.14195947882515766
6,120,0.641122318785307,0.10194505544236021,0.08753877611547704,-0.28060604039774595,0.15470560339715372,0.15405567432246295,0.13760369233119177
12,114,0.7822423655063893,0.3446824899439297,0.11194268450487709,0.11219951985469209,0.14979948690131772,0.0014068182221937398,0.13585131096286096
