h,nobs,R2,beta_MP,se_beta_MP
1,129,0.19060708910424817,-2.796210498449339,1.2327541207849373
3,127,0.23273808529054785,-2.1953199776895675,0.9235609468010243
6,124,0.420858604579215,-1.758444156317315,1.3227258819215872
