h,nobs,R2,beta_MP,se_beta_MP,gamma_MPxAge,se_gamma_MPxAge,delta_MPxAI,se_delta_MPxAI
1,129,0.27282941328513766,-2.8457062099587476,0.875614044991005,0.04295884098390146,2.4106835514740763,-3.3929382088253277,2.440025000114627
3,127,0.26471152100041806,-2.2853249209257305,0.734352343806131,1.608514145373197,2.343624320549463,-4.033189430499731,2.7012712633717584
6,124,0.4548648033053454,-1.9015009919964634,1.1404644726426805,3.9569582022905774,3.2265731772157955,-6.864070792610923,3.2740885446098837
