h,nobs,R2,beta_MP,se_beta_MP,gamma_MPxAge,se_gamma_MPxAge,delta_MPxAI,se_delta_MPxAI
1,125,0.41621416627164043,-1.9914099547399893,0.9108810989177134,0.8558139372541411,2.066095554100326,-2.818935515263468,2.065288155332644
3,123,0.5452985163620618,-0.7511453496248919,0.624246675671724,2.1370209616416145,0.890313306311924,-2.134726336610634,1.1375285465703524
6,120,0.710579381200058,-0.0013800515832109728,1.0501366643403753,4.364519797763052,1.877833098207756,-3.971908304743037,1.7238582605759496
12,114,0.7322159706573454,4.019728160912797,1.31411636332418,5.605112445225893,1.6771588960259332,-2.5620478950200667,1.924246808235097
