Date,IIP_yoy_pct,IIP_mom_pct,IIP_level,CPI_yoy_pct,CPI_mom_pct,CPI_level,Credit_yoy_pct,Credit_stock_VNDbn,ON_avg_monthly_interbank_rate,MP_shock_monthly,Age65_percent,Age65_z_m,AI_index_zavg,AI_index_pc1
2013-01-01,,-3.2,100.0,,1.25,100.0,,3079409.0,3.022380952,,6.166056758,-1.2671048546786716,-0.7186989866948251,-0.814690282152345
2013-01-02,,-21.3,78.7,,1.32,101.32,,3089273.0,3.475,,6.166056758,-1.2671048546786716,-0.7906661222006769,-0.902151259272429
2013-01-03,,1.6,79.9592,,-0.19,101.127492,,3127145.0,3.023809524,,6.166056758,-1.2671048546786716,-0.7339628112543045,-0.8334875887943535
2013-01-04,,5.8,84.5968336,,0.02,101.1477175,,3159403.0,2.976842105,,6.166056758,-1.2671048546786716,-0.7388135479692007,-0.8400337524064686
2013-01-05,,4.6,88.48828795,,-0.06,101.0870289,,3187638.0,1.785909091,,6.166056758,-1.2671048546786716,-0.7045977153076058,-0.797798797004133
2013-01-06,,1.9,90.16956542,,0.05,101.1375724,,3236786.0,0.975714286,,6.166056758,-1.2671048546786716,-0.7281152106014307,-0.8261226673221204
2013-01-07,,3.4,93.23533064,,0.27,101.4106438,,3256543.0,3.066956522,,6.166056758,-1.2671048546786716,-0.7712081494885522,-0.8790845856247796
2013-01-08,,2.1,95.19327258,,0.83,102.2523522,,3289999.0,3.933181818,,6.166056758,-1.2671048546786716,-0.7134453512696489,-0.8082375898657802
2013-01-09,,0.5,95.66923895,,1.06,103.3362271,,3303252.0,2.6905,,6.166056758,-1.2671048546786716,-0.6762373766859198,-0.7837059617980434
2013-01-10,,6.07,101.4763618,,0.49,103.8425746,,3315766.0,3.279130435,,6.166056758,-1.2671048546786716,-0.7010862257496656,-0.7936473492831801
2013-01-11,,5.6,107.159038,,0.34,104.1956394,,3344612.0,3.603333333,,6.166056758,-1.2671048546786716,-0.7046750032201774,-0.7978562434220042
2013-01-12,,4.4,111.8740357,,0.51,104.7270371,,3477985.0,2.847272727,,6.166056758,-1.2671048546786716,-0.7185738840278882,-0.8145086448488574
2014-01-01,4.937845469,-6.2,104.9378455,5.449653688,0.69,105.4496537,12.37493948,3460484.0,4.273684,,6.282360397,-1.1395699915010413,-0.7503554436612724,-0.8540266340138358
2014-01-02,19.6051428,-10.3,94.12924739,4.648269624,0.55,106.0296268,11.27967648,3437733.0,2.038333,,6.282360397,-1.1395699915010413,-0.6168031521289086,-0.7221864553002783
2014-01-03,37.61654718,16.9,110.0370902,4.386150925,-0.44,105.5630964,11.80095582,3496178.0,1.857143,-0.232653555,6.282360397,-1.1395699915010413,-0.5990652536895157,-0.7017658665232319
2014-01-04,31.63321904,1.2,111.3575353,4.448770091,0.08,105.6475469,11.6586583,3527747.0,2.0775,0.279581202,6.282360397,-1.1395699915010413,-0.5935961513661077,-0.6910689272607453
2014-01-05,28.36126522,2.0,113.584686,4.720499932,0.2,105.858842,10.76994941,3530945.0,2.929,0.993070682,6.282360397,-1.1395699915010413,-0.7187666056938261,-0.815421639680858
2014-01-06,26.59771497,0.5,114.1526094,6.112586537,1.38,107.319694,11.44864072,3607354.0,2.039048,-0.454970924,6.282360397,-1.1395699915010413,-0.6001720398489285,-0.6989117017713655
2014-01-07,22.67979729,0.2,114.3809146,6.070255796,0.23,107.5665293,12.80557327,3673562.0,2.482727,-1.051112742,6.282360397,-1.1395699915010413,-0.6877697269289528,-0.8021670556111347
2014-01-08,22.43948427,1.9,116.554152,5.428553366,0.22,107.8031757,11.65845339,3673562.0,3.3195,1.254815416,6.282360397,-1.1395699915010413,-0.6491551870624584,-0.7476865961944689
2014-01-09,21.34301127,-0.4,116.0879354,4.740023332,0.4,108.2343884,13.0455987,3734181.0,1.885,-1.272499502,6.282360397,-1.1395699915010413,-0.6330233772078729,-0.7285223233379615
