h,nobs,R2,beta_MP,se_beta_MP,gamma_MPxAge,se_gamma_MPxAge,delta_MPxAI,se_delta_MPxAI
1,129,0.17757966701404537,0.05965345780912164,0.08539451104731138,0.006749941084792141,0.14099946496625648,-0.1531569459817486,0.13070033828408492
3,127,0.35697114871723323,0.07353036243176947,0.0887240363966619,-0.08905648746052308,0.1781034313141016,-0.14489214509400972,0.14289800292967736
6,124,0.528409275166875,0.15450019569618,0.09058154816999581,-0.28038273995499974,0.16086075133986344,0.022470979479900843,0.15767195893379324
12,118,0.7346622360906192,0.24042756579087374,0.13272423246556211,0.1600047216351987,0.1797681368499667,-0.07541708783524059,0.16646536781314664
