h,nobs,R2,beta_MP,se_beta_MP
1,129,0.1577314237974895,0.060259021926667454,0.08475776551592402
3,127,0.33712784432074205,0.07795372113952428,0.08885138264741242
6,124,0.5103484803194218,0.16130915728297826,0.11433783004671429
